date,home_team,visitor_team,h1_total,h2_total,q1_total,q2_total,q3_total,q4_total,h1_spread,h2_spread,q1_spread,q2_spread,q3_spread,q4_spread
2021-03-20,Los Angeles Lakers,Atlanta Hawks,112.41682216812669,110.33819283761675,56.25855155463314,56.158270613493556,56.55280623399584,53.78538660362091,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
2021-03-20,Memphis Grizzlies,Golden State Warriors,110.6603093217497,108.61415857452899,55.37951168659199,55.28079763515772,55.66916863658966,52.944989937939326,-3.25,-3.25,-1.625,-1.625,-1.625,-1.625
2021-03-26,Milwaukee Bucks,Boston Celtics,120.697525586761,118.46578293503048,60.40259664682709,60.29492893993393,60.71852633605357,57.74725659897691,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
2021-03-26,Toronto Raptors,Phoenix Suns,117.18449989400705,115.01771440885496,58.644516910744805,58.539982983262256,58.9512511412412,56.066463267613756,1.75,1.75,0.875,0.875,0.875,0.875
2021-03-26,Detroit Pistons,Brooklyn Nets,111.66403094825083,109.59932101057913,55.8818201826155,55.78221076563534,56.174104406536046,53.42521660404309,4.75,4.75,2.375,2.375,2.375,2.375
2021-03-27,Utah Jazz,Memphis Grizzlies,115.17705664100478,113.04738953675466,57.639899918697786,57.53715672230702,57.941379601348416,55.10600993540624,-5.0,-5.0,-2.5,-2.5,-2.5,-2.5
2021-03-27,Minnesota Timberwolves,Houston Rockets,115.17705664100478,113.04738953675466,57.639899918697786,57.53715672230702,57.941379601348416,55.10600993540624,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
2021-04-02,New York Knicks,Dallas Mavericks,106.89635322237046,104.91979943934092,53.49585482650383,53.40049839586664,53.77565949929069,51.14413994005024,2.75,2.75,1.375,1.375,1.375,1.375
2021-04-02,Boston Celtics,Houston Rockets,111.91496135487611,109.84561161959168,56.00739730662138,55.90756404825475,56.300338349022645,53.54527327056903,-6.25,-6.25,-3.125,-3.125,-3.125,-3.125
2021-04-02,Toronto Raptors,Golden State Warriors,107.14728362899574,105.16609004835347,53.62143195050971,53.52585167848605,53.90189344177729,51.26419660657618,-7.25,-7.25,-3.625,-3.625,-3.625,-3.625
2021-04-09,Orlando Magic,Indiana Pacers,116.68263908075649,114.52513319082988,58.393362662733054,58.28927641802345,58.69878325626801,55.826349934561875,3.25,3.25,1.625,1.625,1.625,1.625
2021-04-09,Boston Celtics,Minnesota Timberwolves,114.17333501450366,112.0622271007045,57.13759142267428,57.035743591829394,57.43644383140202,54.62578326930248,-4.25,-4.25,-2.125,-2.125,-2.125,-2.125
2021-04-09,New York Knicks,Memphis Grizzlies,108.65286606874744,106.64383370242868,54.37489469454497,54.27797137420248,54.659297096696875,51.98453660573181,1.75,1.75,0.875,0.875,0.875,0.875
2021-04-16,Philadelphia 76ers,Los Angeles Clippers,107.14728362899574,105.16609004835347,53.62143195050971,53.52585167848605,53.90189344177729,51.26419660657618,-4.25,-4.25,-2.125,-2.125,-2.125,-2.125
2021-04-16,Brooklyn Nets,Charlotte Hornets,112.41682216812669,110.33819283761675,56.25855155463314,56.158270613493556,56.55280623399584,53.78538660362091,-6.0,-6.0,-3.0,-3.0,-3.0,-3.0
2021-04-16,Washington Wizards,New Orleans Pelicans,118.18822152050818,116.0028768449051,59.146825406768315,59.04139611373988,59.456186911187594,56.546689933717516,-2.25,-2.25,-1.125,-1.125,-1.125,-1.125
2021-04-16,Detroit Pistons,Oklahoma City Thunder,109.65658769524858,107.62899613847884,54.87720319056848,54.779384504680095,55.16423286664327,52.46476327183557,3.25,3.25,1.625,1.625,1.625,1.625
2021-04-16,Utah Jazz,Indiana Pacers,,,,,,,-3.25,-3.25,-1.625,-1.625,-1.625,-1.625
2021-04-16,Toronto Raptors,Orlando Magic,106.39449240911989,104.42721822131585,53.24470057849207,53.149791830627834,53.52319161431749,50.90402660699836,-1.5,-1.5,-0.75,-0.75,-0.75,-0.75
2021-04-23,Atlanta Hawks,Miami Heat,108.15100525549687,106.15125248440361,54.12374044653322,54.027264808963665,54.406829211723675,51.74442327267993,3.75,3.75,1.875,1.875,1.875,1.875
2021-04-23,Brooklyn Nets,Boston Celtics,113.16961338800253,111.07706466465436,56.63528292665077,56.53433046135177,56.93150806145564,54.14555660319872,-1.75,-1.75,-0.875,-0.875,-0.875,-0.875
2021-04-30,Cleveland Cavaliers,Washington Wizards,117.18449989400705,115.01771440885496,58.644516910744805,58.539982983262256,58.9512511412412,56.066463267613756,3.25,3.25,1.625,1.625,1.625,1.625
2021-04-30,Philadelphia 76ers,Atlanta Hawks,108.65286606874744,106.64383370242868,54.37489469454497,54.27797137420248,54.659297096696875,51.98453660573181,-3.75,-3.75,-1.875,-1.875,-1.875,-1.875
2021-04-30,Boston Celtics,San Antonio Spurs,111.66403094825083,109.59932101057913,55.8818201826155,55.78221076563534,56.174104406536046,53.42521660404309,-0.75,-0.75,-0.375,-0.375,-0.375,-0.375
2021-05-01,Charlotte Hornets,Detroit Pistons,,,,,,,-2.75,-2.75,-1.375,-1.375,-1.375,-1.375
2021-05-07,Philadelphia 76ers,New Orleans Pelicans,115.17705664100478,113.04738953675466,57.639899918697786,57.53715672230702,57.941379601348416,55.10600993540624,-7.75,-7.75,-3.875,-3.875,-3.875,-3.875
2021-05-07,Chicago Bulls,Boston Celtics,113.4205437946278,111.32335527366689,56.760860050656646,56.65968374397118,57.05774200394223,54.26561326972466,2.0,2.0,1.0,1.0,1.0,1.0
2021-05-14,Washington Wizards,Cleveland Cavaliers,117.68636070725762,115.51029562688004,58.895671158756564,58.790689548501064,59.203719026214394,56.306576600665636,-4.75,-4.75,-2.375,-2.375,-2.375,-2.375
2021-05-14,Memphis Grizzlies,Sacramento Kings,113.16961338800253,111.07706466465436,56.63528292665077,56.53433046135177,56.93150806145564,54.14555660319872,,,,,,
2021-05-15,New York Knicks,Charlotte Hornets,106.39449240911989,104.42721822131585,53.24470057849207,53.149791830627834,53.52319161431749,50.90402660699836,-2.5,-2.5,-1.25,-1.25,-1.25,-1.25
2021-05-15,Indiana Pacers,Los Angeles Lakers,,,,,,,3.25,3.25,1.625,1.625,1.625,1.625
2021-10-19,Milwaukee Bucks,Brooklyn Nets,120.697525586761,118.46578293503048,60.40259664682709,60.29492893993393,60.71852633605357,57.74725659897691,0.75,0.75,0.375,0.375,0.375,0.375
2021-10-20,New York Knicks,Boston Celtics,109.154726881998,107.13641492045376,54.62604894255673,54.52867793944129,54.91176498167007,52.22464993878369,-0.5,-0.5,-0.25,-0.25,-0.25,-0.25
2021-10-20,Detroit Pistons,Chicago Bulls,110.6603093217497,108.61415857452899,55.37951168659199,55.28079763515772,55.66916863658966,52.944989937939326,1.25,1.25,0.625,0.625,0.625,0.625
2021-10-20,Toronto Raptors,Washington Wizards,110.40937891512442,108.36786796551645,55.25393456258612,55.15544435253831,55.54293469410306,52.824933271413386,-1.75,-1.75,-0.875,-0.875,-0.875,-0.875
2021-10-20,Charlotte Hornets,Indiana Pacers,114.67519582775422,112.55480831872958,57.388745670686035,57.2864501570682,57.68891171637522,54.86589660235436,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5
2021-10-21,Atlanta Hawks,Dallas Mavericks,112.66775257475196,110.58448344662928,56.384128678639016,56.283623896112964,56.67904017648244,53.90544327014685,-1.25,-1.25,-0.625,-0.625,-0.625,-0.625
2021-10-22,Philadelphia 76ers,Brooklyn Nets,114.17333501450366,112.0622271007045,57.13759142267428,57.035743591829394,57.43644383140202,54.62578326930248,-0.75,-0.75,-0.375,-0.375,-0.375,-0.375
2021-10-22,Boston Celtics,Toronto Raptors,106.64542281574518,104.67350883032839,53.37027770249795,53.275145113247234,53.64942555680409,51.0240832735243,-3.75,-3.75,-1.875,-1.875,-1.875,-1.875
2021-10-22,Washington Wizards,Indiana Pacers,120.697525586761,118.46578293503048,60.40259664682709,60.29492893993393,60.71852633605357,57.74725659897691,2.75,2.75,1.375,1.375,1.375,1.375
2021-10-22,Orlando Magic,New York Knicks,106.64542281574518,104.67350883032839,53.37027770249795,53.275145113247234,53.64942555680409,51.0240832735243,11.5,11.5,5.75,5.75,5.75,5.75
2021-10-22,Cleveland Cavaliers,Charlotte Hornets,118.69008233375875,116.49545806293018,59.39797965478007,59.29210267897869,59.708654796160786,56.7868032667694,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
2021-10-23,Indiana Pacers,Miami Heat,112.41682216812669,110.33819283761675,56.25855155463314,56.158270613493556,56.55280623399584,53.78538660362091,1.75,1.75,0.875,0.875,0.875,0.875
2021-10-23,Toronto Raptors,Dallas Mavericks,108.65286606874744,106.64383370242868,54.37489469454497,54.27797137420248,54.659297096696875,51.98453660573181,1.75,1.75,0.875,0.875,0.875,0.875
2021-10-29,Miami Heat,Charlotte Hornets,109.65658769524858,107.62899613847884,54.87720319056848,54.779384504680095,55.16423286664327,52.46476327183557,-2.75,-2.75,-1.375,-1.375,-1.375,-1.375
2021-10-29,Toronto Raptors,Orlando Magic,103.63425793624178,101.71802152217793,51.86335221442742,51.77090572181437,52.13461824696492,49.58340327521302,-4.0,-4.0,-2.0,-2.0,-2.0,-2.0
2021-10-30,Washington Wizards,Boston Celtics,112.91868298137724,110.83077405564183,56.50970580264489,56.408977178732364,56.80527411896904,54.02549993667279,-1.25,-1.25,-0.625,-0.625,-0.625,-0.625
2021-10-30,Detroit Pistons,Orlando Magic,103.3833275296165,101.4717309131654,51.73777509042154,51.645552439194965,52.00838430447832,49.46334660868708,-2.5,-2.5,-1.25,-1.25,-1.25,-1.25
2021-10-30,New Orleans Pelicans,New York Knicks,107.90007484887158,105.90496187539108,53.99816332252734,53.901911526344264,54.28059526923708,51.62436660615399,2.75,2.75,1.375,1.375,1.375,1.375
2021-10-30,Indiana Pacers,Toronto Raptors,,,,,,,-1.5,-1.5,-0.75,-0.75,-0.75,-0.75
2021-10-30,Philadelphia 76ers,Atlanta Hawks,,,,,,,-1.75,-1.75,-0.875,-0.875,-0.875,-0.875
2021-11-05,Detroit Pistons,Brooklyn Nets,100.62309305673838,98.7625342140275,50.356426726356894,50.26666633038151,50.61981093712574,48.14272327690175,3.25,3.25,1.625,1.625,1.625,1.625
2021-11-05,Orlando Magic,San Antonio Spurs,98.36471939711085,96.54591873291466,49.226232610303995,49.138486786806865,49.483705454746364,47.062213278168294,4.25,4.25,2.125,2.125,2.125,2.125
2021-11-05,Washington Wizards,Memphis Grizzlies,115.42798704763007,113.2936801457672,57.765477042703665,57.66251000492642,58.067613543835016,55.22606660193218,-3.5,-3.5,-1.75,-1.75,-1.75,-1.75
2021-11-05,Milwaukee Bucks,New York Knicks,108.65286606874744,106.64383370242868,54.37489469454497,54.27797137420248,54.659297096696875,51.98453660573181,-1.75,-1.75,-0.875,-0.875,-0.875,-0.875
2021-11-06,Denver Nuggets,Houston Rockets,108.90379647537272,106.89012431144123,54.50047181855085,54.40332465682188,54.785531039183475,52.10459327225775,-5.25,-5.25,-2.625,-2.625,-2.625,-2.625
2021-11-27,Utah Jazz,New Orleans Pelicans,109.40565728862329,107.38270552946629,54.75162606656261,54.654031222060695,55.03799892415667,52.34470660530963,-6.75,-6.75,-3.375,-3.375,-3.375,-3.375
2021-12-04,New York Knicks,Denver Nuggets,103.13239712299122,101.22544030415287,51.612197966415664,51.520199156575565,51.88215036199172,49.34328994216114,-0.75,-0.75,-0.375,-0.375,-0.375,-0.375
2021-12-18,Detroit Pistons,Houston Rockets,107.90007484887158,105.90496187539108,53.99816332252734,53.901911526344264,54.28059526923708,51.62436660615399,-0.75,-0.75,-0.375,-0.375,-0.375,-0.375
2021-12-25,New York Knicks,Atlanta Hawks,109.65658769524858,107.62899613847884,54.87720319056848,54.779384504680095,55.16423286664327,52.46476327183557,-0.5,-0.5,-0.25,-0.25,-0.25,-0.25
2021-12-25,Milwaukee Bucks,Boston Celtics,117.43543030063233,115.26400501786749,58.770094034750684,58.66533626588166,59.0774850837278,56.186519934139696,-3.5,-3.5,-1.75,-1.75,-1.75,-1.75
2021-12-25,Phoenix Suns,Golden State Warriors,114.67519582775422,112.55480831872958,57.388745670686035,57.2864501570682,57.68891171637522,54.86589660235436,-1.75,-1.75,-0.875,-0.875,-0.875,-0.875
2021-12-25,Phoenix Suns,Golden State Warriors,108.15100525549687,106.15125248440361,54.12374044653322,54.027264808963665,54.406829211723675,51.74442327267993,-3.0,-3.0,-1.5,-1.5,-1.5,-1.5
2021-12-31,Sacramento Kings,Dallas Mavericks,116.4317086741312,114.27884258181734,58.267785538727175,58.16392313540404,58.57254931378141,55.706293268035935,-0.75,-0.75,-0.375,-0.375,-0.375,-0.375
2022-01-08,Los Angeles Clippers,Memphis Grizzlies,107.39821403562102,105.412380657366,53.74700907451558,53.65120496110545,54.02812738426388,51.38425327310212,1.75,1.75,0.875,0.875,0.875,0.875
2022-02-26,Detroit Pistons,Boston Celtics,107.90007484887158,105.90496187539108,53.99816332252734,53.901911526344264,54.28059526923708,51.62436660615399,5.25,5.25,2.625,2.625,2.625,2.625
2022-03-18,Philadelphia 76ers,Dallas Mavericks,108.65286606874744,106.64383370242868,54.37489469454497,54.27797137420248,54.659297096696875,51.98453660573181,-0.75,-0.75,-0.375,-0.375,-0.375,-0.375
2022-03-18,Brooklyn Nets,Portland Trail Blazers,118.69008233375875,116.49545806293018,59.39797965478007,59.29210267897869,59.708654796160786,56.7868032667694,-6.25,-6.25,-3.125,-3.125,-3.125,-3.125
2022-03-25,Atlanta Hawks,Golden State Warriors,112.1658917615014,110.09190222860421,56.13297443062726,56.03291733087415,56.426572291509245,53.66532993709497,-2.25,-2.25,-1.125,-1.125,-1.125,-1.125
2022-03-25,Detroit Pistons,Washington Wizards,105.64170118924405,103.68834639427824,52.86796920647444,52.77373198276961,53.1444897868577,50.54385660742054,0.75,0.75,0.375,0.375,0.375,0.375
2022-03-25,Charlotte Hornets,Utah Jazz,107.90007484887158,105.90496187539108,53.99816332252734,53.901911526344264,54.28059526923708,51.62436660615399,0.75,0.75,0.375,0.375,0.375,0.375
2022-03-26,Portland Trail Blazers,Houston Rockets,117.43543030063233,115.26400501786749,58.770094034750684,58.66533626588166,59.0774850837278,56.186519934139696,2.0,2.0,1.0,1.0,1.0,1.0
2022-10-18,Boston Celtics,Philadelphia 76ers,106.89635322237046,104.91979943934092,53.49585482650383,53.40049839586664,53.77565949929069,51.14413994005024,-1.75,-1.75,-0.875,-0.875,-0.875,-0.875
2022-10-19,Atlanta Hawks,Houston Rockets,117.18449989400705,115.01771440885496,58.644516910744805,58.539982983262256,58.9512511412412,56.066463267613756,-4.75,-4.75,-2.375,-2.375,-2.375,-2.375
2022-10-19,Miami Heat,Chicago Bulls,108.65286606874744,106.64383370242868,54.37489469454497,54.27797137420248,54.659297096696875,51.98453660573181,-3.0,-3.0,-1.5,-1.5,-1.5,-1.5
2022-10-19,Brooklyn Nets,New Orleans Pelicans,115.67891745425536,113.53997075477973,57.891054166709544,57.787863287545825,58.193847486321616,55.34612326845812,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
2022-10-19,Memphis Grizzlies,New York Knicks,113.67147420125309,111.56964588267944,56.886437174662525,56.78503702659058,57.18397594642883,54.3856699362506,-3.25,-3.25,-1.625,-1.625,-1.625,-1.625
2022-10-19,Toronto Raptors,Cleveland Cavaliers,107.90007484887158,105.90496187539108,53.99816332252734,53.901911526344264,54.28059526923708,51.62436660615399,-1.5,-1.5,-0.75,-0.75,-0.75,-0.75
2022-10-19,Detroit Pistons,Orlando Magic,109.40565728862329,107.38270552946629,54.75162606656261,54.654031222060695,55.03799892415667,52.34470660530963,-1.75,-1.75,-0.875,-0.875,-0.875,-0.875
2022-10-19,Indiana Pacers,Washington Wizards,113.92240460787838,111.81593649169197,57.0120142986684,56.91039030920999,57.31020988891543,54.50572660277654,1.0,1.0,0.5,0.5,0.5,0.5
2022-10-20,Philadelphia 76ers,Milwaukee Bucks,112.91868298137724,110.83077405564183,56.50970580264489,56.408977178732364,56.80527411896904,54.02549993667279,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5
2022-10-21,Charlotte Hornets,New Orleans Pelicans,114.42426542112894,112.30851770971705,57.263168546680156,57.1610968744488,57.56267777388862,54.74583993582842,4.75,4.75,2.375,2.375,2.375,2.375
2022-10-21,Brooklyn Nets,Toronto Raptors,111.41310054162555,109.3530304015666,55.75624305860963,55.65685748301593,56.04787046404945,53.305159937517146,-1.75,-1.75,-0.875,-0.875,-0.875,-0.875
2022-10-21,Atlanta Hawks,Orlando Magic,108.15100525549687,106.15125248440361,54.12374044653322,54.027264808963665,54.406829211723675,51.74442327267993,-4.25,-4.25,-2.125,-2.125,-2.125,-2.125
2022-10-21,New York Knicks,Detroit Pistons,110.6603093217497,108.61415857452899,55.37951168659199,55.28079763515772,55.66916863658966,52.944989937939326,-3.5,-3.5,-1.75,-1.75,-1.75,-1.75
2022-10-21,Indiana Pacers,San Antonio Spurs,120.19566477351044,117.97320171700541,60.15144239881534,60.04422237469512,60.46605845108038,57.50714326592503,2.25,2.25,1.125,1.125,1.125,1.125
2022-10-21,Washington Wizards,Chicago Bulls,109.65658769524858,107.62899613847884,54.87720319056848,54.779384504680095,55.16423286664327,52.46476327183557,0.75,0.75,0.375,0.375,0.375,0.375
2022-10-21,Miami Heat,Boston Celtics,109.154726881998,107.13641492045376,54.62604894255673,54.52867793944129,54.91176498167007,52.22464993878369,-0.75,-0.75,-0.375,-0.375,-0.375,-0.375
2022-10-28,Washington Wizards,Indiana Pacers,118.18822152050818,116.0028768449051,59.146825406768315,59.04139611373988,59.456186911187594,56.546689933717516,-1.75,-1.75,-0.875,-0.875,-0.875,-0.875
2022-10-28,Orlando Magic,Charlotte Hornets,98.8665802103614,97.03849995093972,49.47738685831575,49.38919335204567,49.73617333971956,47.302326611220174,-3.0,-3.0,-1.5,-1.5,-1.5,-1.5
2022-10-28,Boston Celtics,Cleveland Cavaliers,112.1658917615014,110.09190222860421,56.13297443062726,56.03291733087415,56.426572291509245,53.66532993709497,-1.25,-1.25,-0.625,-0.625,-0.625,-0.625
2022-10-28,Toronto Raptors,Philadelphia 76ers,109.40565728862329,107.38270552946629,54.75162606656261,54.654031222060695,55.03799892415667,52.34470660530963,0.75,0.75,0.375,0.375,0.375,0.375
2022-10-28,Detroit Pistons,Atlanta Hawks,117.18449989400705,115.01771440885496,58.644516910744805,58.539982983262256,58.9512511412412,56.066463267613756,2.25,2.25,1.125,1.125,1.125,1.125
2022-10-29,Sacramento Kings,Miami Heat,113.92240460787838,111.81593649169197,57.0120142986684,56.91039030920999,57.31020988891543,54.50572660277654,1.5,1.5,0.75,0.75,0.75,0.75
2022-10-29,Charlotte Hornets,Golden State Warriors,117.18449989400705,115.01771440885496,58.644516910744805,58.539982983262256,58.9512511412412,56.066463267613756,4.5,4.5,2.25,2.25,2.25,2.25
2022-10-29,Brooklyn Nets,Indiana Pacers,117.68636070725762,115.51029562688004,58.895671158756564,58.790689548501064,59.203719026214394,56.306576600665636,-5.5,-5.5,-2.75,-2.75,-2.75,-2.75
2022-11-04,Boston Celtics,Chicago Bulls,111.66403094825083,109.59932101057913,55.8818201826155,55.78221076563534,56.174104406536046,53.42521660404309,-3.75,-3.75,-1.875,-1.875,-1.875,-1.875
2022-11-04,Detroit Pistons,Cleveland Cavaliers,104.63797956274291,102.70318395822808,52.36566071045093,52.272318852291995,52.639554016911305,50.06362994131678,6.75,6.75,3.375,3.375,3.375,3.375
2022-11-04,Washington Wizards,Brooklyn Nets,117.18449989400705,115.01771440885496,58.644516910744805,58.539982983262256,58.9512511412412,56.066463267613756,2.0,2.0,1.0,1.0,1.0,1.0
2022-11-04,Indiana Pacers,Miami Heat,114.42426542112894,112.30851770971705,57.263168546680156,57.1610968744488,57.56267777388862,54.74583993582842,1.25,1.25,0.625,0.625,0.625,0.625
2022-11-04,Philadelphia 76ers,New York Knicks,106.89635322237046,104.91979943934092,53.49585482650383,53.40049839586664,53.77565949929069,51.14413994005024,-0.75,-0.75,-0.375,-0.375,-0.375,-0.375
2022-11-05,Phoenix Suns,Portland Trail Blazers,109.154726881998,107.13641492045376,54.62604894255673,54.52867793944129,54.91176498167007,52.22464993878369,-6.0,-6.0,-3.0,-3.0,-3.0,-3.0
2022-11-25,Charlotte Hornets,Minnesota Timberwolves,114.17333501450366,112.0622271007045,57.13759142267428,57.035743591829394,57.43644383140202,54.62578326930248,-5.25,-5.25,-2.625,-2.625,-2.625,-2.625
2022-11-26,San Antonio Spurs,Los Angeles Lakers,116.68263908075649,114.52513319082988,58.393362662733054,58.28927641802345,58.69878325626801,55.826349934561875,1.5,1.5,0.75,0.75,0.75,0.75
2022-12-10,Miami Heat,San Antonio Spurs,112.91868298137724,110.83077405564183,56.50970580264489,56.408977178732364,56.80527411896904,54.02549993667279,-6.0,-6.0,-3.0,-3.0,-3.0,-3.0
2022-12-17,San Antonio Spurs,Miami Heat,,,,,,,4.0,4.0,2.0,2.0,2.0,2.0
2022-12-25,Boston Celtics,Milwaukee Bucks,110.15844850849913,108.1215773565039,55.12835743858024,55.03009106991891,55.41670075161646,52.70487660488745,-2.25,-2.25,-1.125,-1.125,-1.125,-1.125
2022-12-25,New York Knicks,Philadelphia 76ers,110.15844850849913,108.1215773565039,55.12835743858024,55.03009106991891,55.41670075161646,52.70487660488745,1.75,1.75,0.875,0.875,0.875,0.875
2022-12-25,Dallas Mavericks,Los Angeles Lakers,109.65658769524858,107.62899613847884,54.87720319056848,54.779384504680095,55.16423286664327,52.46476327183557,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
2022-12-31,Indiana Pacers,Los Angeles Clippers,115.42798704763007,113.2936801457672,57.765477042703665,57.66251000492642,58.067613543835016,55.22606660193218,1.5,1.5,0.75,0.75,0.75,0.75
2023-01-07,San Antonio Spurs,Boston Celtics,118.18822152050818,116.0028768449051,59.146825406768315,59.04139611373988,59.456186911187594,56.546689933717516,6.0,6.0,3.0,3.0,3.0,3.0
2023-01-14,Miami Heat,Milwaukee Bucks,,,,,,,-0.5,-0.5,-0.25,-0.25,-0.25,-0.25
2023-01-15,Portland Trail Blazers,Dallas Mavericks,114.67519582775422,112.55480831872958,57.388745670686035,57.2864501570682,57.68891171637522,54.86589660235436,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5
2023-01-21,Toronto Raptors,Boston Celtics,114.67519582775422,112.55480831872958,57.388745670686035,57.2864501570682,57.68891171637522,54.86589660235436,0.5,0.5,0.25,0.25,0.25,0.25
2023-01-28,Brooklyn Nets,New York Knicks,113.4205437946278,111.32335527366689,56.760860050656646,56.65968374397118,57.05774200394223,54.26561326972466,-0.5,-0.5,-0.25,-0.25,-0.25,-0.25
2023-02-04,New Orleans Pelicans,Los Angeles Lakers,,,,,,,0.5,0.5,0.25,0.25,0.25,0.25
2023-02-11,Sacramento Kings,Dallas Mavericks,116.68263908075649,114.52513319082988,58.393362662733054,58.28927641802345,58.69878325626801,55.826349934561875,-2.25,-2.25,-1.125,-1.125,-1.125,-1.125
2023-02-25,Detroit Pistons,Toronto Raptors,,,,,,,3.25,3.25,1.625,1.625,1.625,1.625
2023-03-04,Washington Wizards,Toronto Raptors,111.66403094825083,109.59932101057913,55.8818201826155,55.78221076563534,56.174104406536046,53.42521660404309,0.5,0.5,0.25,0.25,0.25,0.25
2023-03-11,Los Angeles Clippers,New York Knicks,,,,,,,-2.5,-2.5,-1.25,-1.25,-1.25,-1.25
2023-03-17,Cleveland Cavaliers,Washington Wizards,113.16961338800253,111.07706466465436,56.63528292665077,56.53433046135177,56.93150806145564,54.14555660319872,-3.75,-3.75,-1.875,-1.875,-1.875,-1.875
2023-03-17,Atlanta Hawks,Golden State Warriors,127.97450737889422,125.60821059639406,64.04433324299754,63.930174135896685,64.3793106681649,61.228899928229154,0.5,0.5,0.25,0.25,0.25,0.25
2023-03-17,Charlotte Hornets,Philadelphia 76ers,114.92612623437951,112.80109892774212,57.51432279469191,57.41180343968761,57.81514565886182,54.9859532688803,6.25,6.25,3.125,3.125,3.125,3.125
2023-03-18,New York Knicks,Denver Nuggets,,,,,,,0.75,0.75,0.375,0.375,0.375,0.375
2023-03-18,Indiana Pacers,Philadelphia 76ers,117.68636070725762,115.51029562688004,58.895671158756564,58.790689548501064,59.203719026214394,56.306576600665636,3.0,3.0,1.5,1.5,1.5,1.5
2023-03-18,Los Angeles Clippers,Orlando Magic,113.92240460787838,111.81593649169197,57.0120142986684,56.91039030920999,57.31020988891543,54.50572660277654,-4.25,-4.25,-2.125,-2.125,-2.125,-2.125
2023-03-18,Toronto Raptors,Minnesota Timberwolves,,,,,,,-3.25,-3.25,-1.625,-1.625,-1.625,-1.625
